type	onset
1	3.986053466796875
2	4.406036376953125
1	4.91607666015625
2	5.396026611328125
1	5.886016845703125
2	6.365997314453125
1	6.8460693359375
2	7.345977783203125
1	7.855987548828125
2	8.365997314453125
1	8.845977783203125
2	9.325958251953125
1	9.825958251953125
2	10.3160400390625
1	10.7960205078125
2	11.305938720703125
1	11.805938720703125
2	12.2860107421875
1	12.765960693359375
2	13.2760009765625
1	13.7659912109375
2	14.245941162109375
1	14.715911865234375
2	15.225921630859375
1	15.67596435546875
2	16.165924072265625
1	16.645904541015625
2	17.17596435546875
1	17.65594482421875
2	18.145904541015625
1	18.64593505859375
2	19.15594482421875
1	19.63592529296875
2	20.0859375
1	20.56591796875
2	21.045867919921875
1	21.525848388671875
2	22.055908203125
1	22.515838623046875
2	22.965850830078125
1	23.47589111328125
2	23.9058837890625
1	24.4058837890625
2	24.875823974609375
1	25.32586669921875
2	25.805816650390625
1	26.225799560546875
2	26.68585205078125
1	27.085784912109375
2	27.585784912109375
1	28.04583740234375
2	28.525787353515625
1	28.975830078125
2	29.435760498046875
1	29.91583251953125
2	30.425750732421875
1	30.875762939453125
2	31.38580322265625
1	31.855743408203125
2	32.345733642578125
1	32.795745849609375
2	33.25579833984375
1	33.755706787109375
2	34.205718994140625
1	34.665771484375
2	35.115692138671875
1	35.60577392578125
2	36.075714111328125
1	36.505706787109375
2	36.995697021484375
1	37.415679931640625
2	37.865692138671875
1	38.355682373046875
2	38.855682373046875
1	39.31573486328125
2	39.715667724609375
1	40.225677490234375
2	40.7357177734375
1	41.185638427734375
2	41.65570068359375
1	42.135650634765625
2	42.615631103515625
1	43.07568359375
2	43.535614013671875
1	43.985626220703125
2	44.465606689453125
1	44.9456787109375
2	45.4256591796875
1	45.885589599609375
2	46.335601806640625
1	46.835601806640625
2	47.295654296875
1	47.745574951171875
2	48.205596923828125
1	48.6556396484375
2	49.105560302734375
1	49.615570068359375
2	50.105560302734375
1	50.57562255859375
2	51.05560302734375
1	51.515533447265625
2	51.975555419921875
1	52.395538330078125
2	52.905548095703125
1	53.385528564453125
2	53.8555908203125
1	54.325531005859375
2	54.795501708984375
1	55.245513916015625
2	55.76556396484375
1	56.195556640625
2	56.695556640625
1	57.145477294921875
2	57.605499267578125
1	58.10552978515625
2	58.565460205078125
1	58.98553466796875
2	59.47552490234375
1	59.945465087890625
2	60.435455322265625
1	60.905426025390625
2	61.415435791015625
1	61.855438232421875
2	62.32550048828125
1	62.81549072265625
2	63.235443115234375
1	63.695404052734375
2	64.19540405273438
1	64.62539672851562
2	65.08541870117188
1	65.56539916992188
2	66.04537963867188
1	66.47537231445312
2	66.97537231445312
1	67.4554443359375
2	67.93539428710938
1	68.39535522460938
2	68.91537475585938
1	69.35537719726562
2	69.82534790039062
1	70.28536987304688
2	70.76535034179688
1	71.21539306640625
2	71.69534301757812
1	72.1553955078125
2	72.63534545898438
1	73.11532592773438
2	73.61532592773438
1	74.07537841796875
2	74.55535888671875
1	75.03530883789062
2	75.56527709960938
1	76.00527954101562
2	76.4853515625
1	77.04534912109375
2	77.51528930664062
1	78.00527954101562
2	78.455322265625
1	78.88531494140625
2	79.41525268554688
1	79.89523315429688
2	80.34524536132812
1	80.78524780273438
2	81.25521850585938
1	81.68521118164062
2	82.14523315429688
1	82.61529541015625
2	83.07522583007812
1	83.5252685546875
2	83.98519897460938
1	84.43521118164062
2	84.88525390625
1	85.36520385742188
2	85.84518432617188
1	86.28518676757812
2	86.76516723632812
1	87.2352294921875
2	87.7452392578125
1	88.2352294921875
2	88.65521240234375
1	89.15521240234375
2	89.56515502929688
1	90.02520751953125
2	90.52520751953125
1	90.98513793945312
2	91.50518798828125
1	91.96511840820312
2	92.4451904296875
1	92.90512084960938
2	93.37518310546875
1	93.81509399414062
2	94.34515380859375
1	94.80508422851562
2	95.28515625
1	95.75509643554688
2	96.28506469726562
1	96.71514892578125
2	97.20513916015625
1	97.65505981445312
2	98.1351318359375
1	98.6151123046875
2	99.07504272460938
1	99.52505493164062
2	99.985107421875
1	100.45504760742188
2	100.90509033203125
1	101.36502075195312
2	101.81503295898438
1	102.27508544921875
2	102.72500610351562
1	103.18502807617188
2	103.61502075195312
1	104.0650634765625
2	104.53500366210938
1	105.02499389648438
2	105.45498657226562
1	105.96499633789062
2	106.405029296875
1	106.88497924804688
2	107.35494995117188
1	107.79495239257812
2	108.31497192382812
1	108.81497192382812
2	109.23495483398438
1	109.72494506835938
2	110.15493774414062
1	110.65493774414062
2	111.06491088867188
1	111.50491333007812
2	111.93490600585938
1	112.37490844726562
2	112.82492065429688
1	113.30490112304688
2	113.73489379882812
1	114.18490600585938
2	114.68490600585938
1	115.13494873046875
2	115.60488891601562
1	116.08486938476562
2	116.61492919921875
1	117.03488159179688
2	117.48492431640625
1	117.89486694335938
2	118.37484741210938
1	118.794921875
2	119.284912109375
1	119.73483276367188
2	120.19485473632812
1	120.67483520507812
2	121.10482788085938
1	121.55484008789062
2	121.98483276367188
1	122.45480346679688
2	122.90481567382812
1	123.33480834960938
2	123.77481079101562
1	124.224853515625
2	124.62478637695312
1	125.13479614257812
2	125.5848388671875
1	126.03475952148438
2	126.44482421875
1	126.91476440429688
2	127.3248291015625
1	127.79476928710938
2	128.22476196289062
1	128.63473510742188
2	129.07473754882812
1	129.5548095703125
2	129.99472045898438
1	130.44473266601562
2	130.86471557617188
1	131.30471801757812
2	131.74472045898438
1	132.23471069335938
2	132.634765625
1	133.08468627929688
2	133.46469116210938
1	133.93475341796875
2	134.33468627929688
1	134.81466674804688
2	135.21469116210938
1	135.64468383789062
2	136.05465698242188
1	136.4747314453125
2	136.87466430664062
1	137.28463745117188
2	137.73464965820312
1	138.16464233398438
2	138.61465454101562
1	139.064697265625
2	139.49468994140625
1	139.94461059570312
2	140.35464477539062
1	140.77462768554688
2	141.20462036132812
1	141.65463256835938
2	142.08462524414062
1	142.48458862304688
2	142.93460083007812
1	143.38461303710938
2	143.79458618164062
1	144.21456909179688
2	144.57464599609375
1	145.02456665039062
2	145.45455932617188
