type	onset
1	20.420989990234375
2	21.040985107421875
1	21.81103515625
2	22.49102783203125
1	23.280975341796875
2	23.98101806640625
1	24.700958251953125
2	25.450958251953125
1	26.280914306640625
2	26.920928955078125
1	27.590911865234375
2	28.3809814453125
1	29.190887451171875
2	30.000885009765625
1	30.810882568359375
2	31.610870361328125
1	32.170867919921875
2	32.8209228515625
1	33.62091064453125
2	34.520843505859375
1	35.710845947265625
2	36.270843505859375
1	36.910888671875
2	37.59088134765625
1	38.130828857421875
2	38.740814208984375
1	39.33087158203125
2	39.870849609375
1	40.480804443359375
2	41.030792236328125
1	41.630767822265625
2	42.17083740234375
1	42.830780029296875
2	43.40081787109375
1	44.0908203125
2	44.7008056640625
1	45.310791015625
2	45.900726318359375
1	46.790740966796875
2	47.4207763671875
1	48.22076416015625
2	48.940704345703125
1	49.53076171875
2	50.230682373046875
1	51.08074951171875
2	52.100677490234375
1	53.04071044921875
2	53.78070068359375
1	54.90069580078125
2	55.52069091796875
1	56.0706787109375
2	56.660614013671875
1	57.270599365234375
2	57.890594482421875
1	58.50067138671875
2	59.1806640625
1	59.950592041015625
2	60.750579833984375
1	61.5206298828125
2	62.240570068359375
1	63.200531005859375
2	63.950531005859375
1	64.60055541992188
2	65.16058349609375
1	65.74050903320312
2	66.31051635742188
1	66.87051391601562
2	67.4505615234375
1	67.99050903320312
2	68.54049682617188
1	69.21047973632812
2	69.800537109375
1	70.76046752929688
2	71.30044555664062
1	71.88046264648438
2	72.44046020507812
1	73.1405029296875
2	73.84042358398438
1	74.52041625976562
2	75.00048828125
1	75.57040405273438
2	76.240478515625
1	76.83041381835938
2	77.46041870117188
1	78.07040405273438
2	78.720458984375
1	79.3304443359375
2	79.84036254882812
1	80.50042724609375
2	81.0704345703125
1	81.63034057617188
2	82.22036743164062
1	82.67041015625
2	83.33035278320312
1	84.12033081054688
2	85.92031860351562
1	88.14028930664062
2	89.16033935546875
1	90.07028198242188
2	90.73025512695312
1	91.29025268554688
2	91.85025024414062
1	92.4403076171875
2	93.00030517578125
1	93.560302734375
2	94.05029296875
1	94.57022094726562
2	95.11019897460938
1	95.60028076171875
2	96.10018920898438
1	96.58026123046875
2	97.11019897460938
1	97.60018920898438
2	98.08016967773438
1	98.58016967773438
2	99.1202392578125
1	99.63015747070312
2	100.18023681640625
1	100.62014770507812
2	101.18014526367188
1	101.68014526367188
2	102.17013549804688
1	102.67013549804688
2	103.18014526367188
1	103.68014526367188
2	104.13018798828125
1	104.68017578125
2	105.21011352539062
1	105.82009887695312
2	106.40011596679688
1	106.86007690429688
2	107.42007446289062
1	107.96014404296875
2	108.46014404296875
1	109.10006713867188
2	109.62008666992188
1	110.23007202148438
2	110.82003784179688
1	111.38003540039062
2	111.94003295898438
1	112.4700927734375
2	113.03009033203125
1	113.590087890625
2	114.13003540039062
1	114.68002319335938
2	115.26998901367188
1	115.79000854492188
2	116.42001342773438
1	116.99005126953125
2	117.69998168945312
1	118.20999145507812
2	118.98995971679688
1	119.47003173828125
2	120.260009765625
1	120.97994995117188
2	121.52993774414062
1	122.05999755859375
2	122.75991821289062
1	123.3699951171875
2	123.89993286132812
1	124.40997314453125
2	125.17990112304688
1	125.79989624023438
2	126.26995849609375
1	126.96987915039062
2	127.50994873046875
1	128.16989135742188
2	128.74993896484375
1	129.39987182617188
2	129.97991943359375
1	130.93984985351562
2	131.39990234375
1	132.03982543945312
2	132.7698974609375
1	133.63980102539062
2	134.19979858398438
1	134.79986572265625
2	135.56979370117188
