type	onset
1	5.138519287109375
2	5.96856689453125
1	6.44854736328125
2	7.458465576171875
1	8.18853759765625
2	8.978485107421875
1	9.728515625
2	10.448455810546875
1	11.258453369140625
2	12.108428955078125
1	12.978424072265625
2	13.788421630859375
1	14.588409423828125
2	15.468414306640625
1	16.2984619140625
2	17.178375244140625
1	18.0284423828125
2	18.868377685546875
1	19.68841552734375
2	20.54840087890625
1	21.378326416015625
2	22.148345947265625
1	23.02838134765625
2	23.938323974609375
1	24.788299560546875
2	25.648284912109375
1	26.478302001953125
2	27.348297119140625
1	28.22833251953125
2	29.068267822265625
1	29.918243408203125
2	30.748260498046875
1	31.56829833984375
2	32.418243408203125
1	33.338226318359375
2	34.088226318359375
1	34.96826171875
2	35.868194580078125
1	36.618194580078125
2	37.468170166015625
1	38.398162841796875
2	39.17822265625
1	40.0281982421875
2	40.948150634765625
1	41.778106689453125
2	42.69818115234375
1	43.648101806640625
2	44.4881591796875
1	45.34814453125
2	46.178070068359375
1	47.078125
2	47.998077392578125
1	48.898040771484375
2	49.74810791015625
1	50.658050537109375
2	51.438018798828125
1	52.2880859375
2	53.118011474609375
1	54.008056640625
2	54.858001708984375
1	55.67803955078125
2	56.567962646484375
1	57.54803466796875
2	58.40802001953125
1	59.187957763671875
2	60.107940673828125
1	60.987945556640625
2	61.907928466796875
1	62.73797607421875
2	63.60797119140625
1	64.5279541015625
2	65.37789916992188
1	66.14785766601562
2	67.02786254882812
1	67.90786743164062
2	68.79791259765625
1	69.597900390625
2	70.50784301757812
1	71.35781860351562
2	72.26779174804688
1	73.11785888671875
2	73.99777221679688
1	74.87777709960938
2	75.72784423828125
1	76.52783203125
2	77.3878173828125
1	78.23776245117188
2	79.17779541015625
1	80.06771850585938
2	80.89773559570312
1	81.81771850585938
2	82.62771606445312
1	83.42770385742188
2	84.22769165039062
1	85.08767700195312
2	85.95767211914062
1	86.80764770507812
2	87.67764282226562
1	88.46771240234375
2	89.42764282226562
1	90.23764038085938
2	91.09762573242188
1	91.94760131835938
2	92.81759643554688
1	93.62759399414062
2	94.587646484375
1	95.38763427734375
2	96.14755249023438
1	97.08755493164062
2	98.00753784179688
1	98.75753784179688
2	99.63754272460938
1	100.54751586914062
2	101.3775634765625
1	102.257568359375
2	103.17755126953125
1	104.04754638671875
2	104.89749145507812
1	105.79745483398438
2	106.70751953125
1	107.61746215820312
2	108.50741577148438
1	109.45742797851562
2	110.33743286132812
1	111.19741821289062
2	112.07745361328125
1	112.93740844726562
2	113.86740112304688
1	114.83737182617188
2	115.62734985351562
1	116.49734497070312
2	117.4573974609375
1	118.26739501953125
2	119.12738037109375
1	120.00738525390625
2	120.94729614257812
1	121.79736328125
2	122.68728637695312
1	123.60726928710938
2	124.54727172851562
1	125.39724731445312
2	126.247314453125
1	127.07723999023438
2	127.99722290039062
1	128.90728759765625
2	129.99722290039062
1	130.8172607421875
2	131.65719604492188
1	132.60723876953125
2	133.46719360351562
1	134.29714965820312
2	135.19717407226562
1	136.05715942382812
2	136.82720947265625
1	137.79714965820312
2	138.69711303710938
1	139.49710083007812
2	140.40716552734375
1	141.31710815429688
2	142.14715576171875
1	142.92709350585938
2	143.79708862304688
1	144.64706420898438
2	145.48712158203125
1	146.33709716796875
2	147.18704223632812
1	148.02700805664062
2	148.89700317382812
1	149.80706787109375
2	150.68698120117188
1	151.65704345703125
2	152.48696899414062
1	153.38702392578125
2	154.23696899414062
1	155.197021484375
2	155.94692993164062
1	156.7869873046875
2	157.72698974609375
1	158.56692504882812
2	159.41690063476562
1	160.33688354492188
2	161.20687866210938
1	162.06686401367188
2	163.00686645507812
1	163.846923828125
2	164.78683471679688
1	165.63690185546875
2	166.576904296875
1	167.37689208984375
2	168.24688720703125
1	169.1668701171875
2	170.05679321289062
1	170.95684814453125
2	171.94683837890625
1	172.69683837890625
2	173.59677124023438
1	174.476806640625
2	175.39675903320312
1	176.216796875
2	177.12673950195312
1	178.02670288085938
2	178.86676025390625
1	179.71670532226562
2	180.69668579101562
1	181.55667114257812
2	182.43667602539062
1	183.32672119140625
2	184.28665161132812
1	185.13662719726562
2	186.06661987304688
1	186.9766845703125
2	187.87661743164062
1	188.81661987304688
2	189.67660522460938
