type	onset
1	1.902130126953125
2	2.452117919921875
1	2.93218994140625
2	3.392120361328125
1	3.91217041015625
2	4.42218017578125
1	4.91217041015625
2	5.41217041015625
1	5.9521484375
2	6.462158203125
1	6.962066650390625
2	7.4521484375
1	7.972076416015625
2	8.482086181640625
1	8.972076416015625
2	9.502044677734375
1	10.002044677734375
2	10.522064208984375
1	11.052032470703125
2	11.552032470703125
1	12.042022705078125
2	12.5220947265625
1	13.032012939453125
2	13.552032470703125
1	14.042022705078125
2	14.55206298828125
1	15.05206298828125
2	15.561981201171875
1	16.092010498046875
2	16.582000732421875
1	17.111968994140625
2	17.65203857421875
1	18.181976318359375
2	18.681976318359375
1	19.171966552734375
2	19.6820068359375
1	20.211944580078125
2	20.74200439453125
1	21.221954345703125
2	21.73199462890625
1	22.261932373046875
2	22.751922607421875
1	23.27197265625
2	23.781982421875
1	24.311920166015625
2	24.82196044921875
1	25.341888427734375
2	25.8719482421875
1	26.43194580078125
2	26.881866455078125
1	27.391876220703125
2	27.901885986328125
1	28.371856689453125
2	28.8519287109375
1	29.371856689453125
2	29.871856689453125
1	30.38189697265625
2	30.911834716796875
1	31.401824951171875
2	31.931884765625
1	32.411834716796875
2	32.891815185546875
1	33.411865234375
2	33.901824951171875
1	34.501800537109375
2	34.941802978515625
1	35.421783447265625
2	35.90185546875
1	36.5218505859375
2	36.95184326171875
1	37.461761474609375
2	37.94183349609375
1	38.391754150390625
2	38.851776123046875
1	39.331756591796875
2	39.67181396484375
1	40.121734619140625
2	40.601806640625
1	41.041717529296875
2	41.571746826171875
1	42.181732177734375
2	42.771697998046875
1	43.701690673828125
2	44.091705322265625
1	44.49176025390625
2	44.941680908203125
1	45.391693115234375
2	45.86175537109375
1	46.34173583984375
2	46.861663818359375
1	47.28173828125
2	47.781646728515625
1	48.241668701171875
2	48.781646728515625
1	49.341644287109375
2	49.81170654296875
1	50.30169677734375
2	50.781646728515625
1	51.29168701171875
2	51.771636962890625
1	52.28167724609375
2	52.751617431640625
1	53.311614990234375
2	53.811614990234375
1	54.3216552734375
2	54.781585693359375
1	55.281585693359375
2	55.821563720703125
1	56.341583251953125
2	56.821563720703125
1	57.341583251953125
2	57.811553955078125
1	58.2816162109375
2	58.741546630859375
1	59.21160888671875
2	59.70159912109375
1	60.171539306640625
2	60.651519775390625
1	61.141510009765625
2	61.62158203125
1	62.101531982421875
2	62.561492919921875
1	63.031524658203125
2	63.431488037109375
1	63.941497802734375
2	64.33151245117188
1	64.76150512695312
2	65.16146850585938
1	65.64154052734375
2	66.11148071289062
1	66.48147583007812
2	66.96145629882812
1	67.38153076171875
2	67.76144409179688
1	68.19143676757812
2	68.70144653320312
1	69.1715087890625
2	69.55142211914062
1	69.9014892578125
2	70.30142211914062
1	70.781494140625
2	71.261474609375
1	71.74142456054688
2	72.19146728515625
1	72.71139526367188
2	73.16140747070312
1	73.69137573242188
2	74.1214599609375
1	74.6114501953125
2	75.07138061523438
1	75.57138061523438
2	76.06137084960938
1	76.54135131835938
2	77.02142333984375
1	77.54135131835938
2	77.98135375976562
1	78.42135620117188
2	78.931396484375
1	79.49139404296875
2	79.99139404296875
1	80.45132446289062
2	80.93130493164062
1	81.44131469726562
2	81.89132690429688
1	82.45132446289062
2	82.93130493164062
1	83.41128540039062
2	83.84127807617188
1	84.34127807617188
2	84.86129760742188
1	85.34127807617188
2	85.75125122070312
1	86.2313232421875
2	86.70126342773438
1	87.2313232421875
2	87.70126342773438
1	88.16131591796875
2	88.64129638671875
